SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
172.17.0.2,104.16.57.101,58224,443,2023-10-28 12:53:02,28.730139,10849,377.6173863969123,0,0.0,810674.2091836734,900.3744827479694,774.9285714285714,197.0,66,1.9256273334114813,0.7873707940554919,1.161880611897094,54.52259250427592,7.3839415290396175,2.1071309285714284,0.0810865,0.0,0.8231556631116538,0.285366686651633,3.504263275204122,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,192.225.158.68,41912,443,2023-10-28 12:53:03,0.002339,163,69687.90081231296,0,0.0,240.25,15.5,81.5,81.5,66,0.0,1.0,0.1901840490797546,1.36773025e-06,0.0011695,0.0011695,0.0011695,0.0,0.0,1.0,1.0,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
192.225.158.68,172.17.0.2,443,41912,2023-10-28 12:53:03,0.855357,132,154.32152890547457,0,0.0,0.0,0.0,66.0,66.0,66,-10.0,-10.0,0.0,0.18290889936225,0.4276785,0.4276785,0.4276785,0.0,0.0,1.0,1.0,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
18.172.134.9,172.17.0.2,443,52142,2023-10-28 12:53:04,27.321772,2252,82.42510771263298,0,0.0,18993.543209876545,137.81706429131535,125.11111111111111,66.0,66,1.286729870827093,0.4289099569423643,1.1015573522396431,73.33250185429733,8.563439837722767,3.088519,0.0754125,0.0,1.0555710872377404,0.3606633617480186,2.772668660196932,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
142.250.191.173,172.17.0.2,443,45108,2023-10-28 12:53:04,27.323148,3610,132.1224040509534,0,0.0,11534.11753902663,107.39700898547702,109.3939393939394,66.0,66,1.21215496978526,0.4040516565950866,0.9817455115015904,41.93007176858586,6.4753433707090675,1.817517363636364,0.20357,0.0,0.7477351877293414,0.280682777666714,3.5627408575363737,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,18.172.134.9,52142,443,2023-10-28 12:53:04,27.29571,29863,1094.0547067652756,0,0.0,3607141.37109375,1899.2475802521767,1866.4375,1373.0,66,0.779420500724528,0.9479740918037356,1.0175789868410687,43.49121834981461,6.594787210351416,1.754427625,0.0561775,0.0,0.7725420415389743,0.2660324843000525,3.758939449184412,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
146.75.77.140,172.17.0.2,443,47708,2023-10-28 12:53:04,27.282783,42357,1552.5175712463056,0,0.0,194485.7465234375,441.00538151301225,264.73125,66.0,66,1.3518967681404783,0.4506322560468261,1.665860685177939,17.42709826571797,4.174577615246598,3.644010075,3.1616485,0.0,0.3466421895510784,0.8729050962404358,1.1455999103533208,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,142.250.191.173,45108,443,2023-10-28 12:53:04,27.295305,92668,3395.0161025861407,0,0.0,6963621.13466739,2638.867396188636,2155.0697674418607,659.0,66,1.7008089564515383,0.7916539385264838,1.2244927918603112,16.706480723400944,4.0873562021679675,0.8108945581395348,0.180556,0.274162,0.4626500801216186,0.1313153372477905,5.0405520189280075,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,146.75.77.140,47708,443,2023-10-28 12:53:04,27.263565,232288,8520.088990563047,0,0.0,3054381.7240792126,1747.678953377654,889.992337164751,376.0,66,0.8822999261472761,0.4714780913120577,1.9637011246020788,13.237433387716218,3.6383283782138487,3.120375528735632,1.174927,0.692413,1.6041283192453648,0.6673291347955741,1.1659905497618392,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
18.154.110.89,172.17.0.2,443,60838,2023-10-28 12:53:04,27.205234,1979,72.74335519407772,0,0.0,27037.71597633136,164.431493261879,152.23076923076923,66.0,66,1.5732528031008377,0.5244176010336126,1.0801462417404888,95.84243852036704,9.789915143675508,4.229396846153846,0.051596,0.0,1.2802360750346626,0.4320156798178302,2.314730799635962,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,18.154.110.89,60838,443,2023-10-28 12:53:04,27.182627,7573,278.5970612774108,0,0.0,2838560.61,1684.8028400973212,757.3,117.0,66,1.1401334056921704,0.4103150728070162,2.2247495577674914,66.23204539377856,8.138307280619143,2.7679738,0.056985,0.0,0.9993437356891324,0.3401166488996738,2.940167743140901,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
3.162.174.118,172.17.0.2,443,51886,2023-10-28 12:53:04,20.891509,1183,56.62587609157386,0,0.0,25878.02469135802,160.8664809441607,131.44444444444446,66.0,66,1.220473849996655,0.4068246166655517,1.2238362878253983,75.04083184961111,8.662611145007672,4.673600666666666,0.057814,0.0,1.5985203269778927,0.5395140781957063,1.8535197512255728,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,3.162.174.118,51886,443,2023-10-28 12:53:04,20.867934,4777,228.91580929861095,0,0.0,913817.359375,955.9379474500424,597.125,101.0,66,1.556978676252187,0.5556061472575412,1.600900895876144,47.45191196661824,6.888534820019292,2.642653375,0.046663,0.0,1.130570045514873,0.3836306912930141,2.6066736126599626,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
146.75.77.140,172.17.0.2,443,47724,2023-10-28 12:53:04,0.078046,951,12185.12159495682,0,0.0,33374.97959183673,182.68820320928424,135.85714285714286,66.0,54,1.147153592240148,0.4480702170099556,1.344708120362765,0.0005775856586938,0.0240330118523225,0.0434281428571428,0.052496,0.0,-1.13192518672779,1.8070204069302245,0.5533971814401393,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
146.75.77.140,172.17.0.2,443,47728,2023-10-28 12:53:04,0.077999,1059,13577.097142271054,0,0.0,27116.44444444444,164.67071519989352,117.66666666666669,54.0,54,1.1598905110003646,0.3866301703334548,1.3994678345600016,0.0007438592199506,0.0272737826483716,0.0543942222222222,0.07316,0.0,-2.0641556787024755,1.9943776381700324,0.5014095529658882,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
146.75.77.140,172.17.0.2,443,47740,2023-10-28 12:53:04,0.077946,1017,13047.4944192133,0,0.0,29736.859375,172.4437861304373,127.125,66.0,54,1.063390013144888,0.4240512322356916,1.3564899597281204,0.00051291019375,0.0226475206976392,0.0443315,0.053351,0.0,-1.194766542494892,1.9574548839962416,0.5108674576235699,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
146.75.77.140,172.17.0.2,443,47746,2023-10-28 12:53:04,26.93948,26466,982.4243081158211,0,0.0,7893.6630859375,88.84628909491661,137.84375,148.0,66,-0.34293778964082,0.8086297214197388,0.6445434711034531,10.90581784431186,3.30239577342145,0.81150265625,0.266282,0.0,0.4952955614569996,0.2457314967458433,4.0694823953898185,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
